Mexico,"42,114","43,742","44,250","40,497","40,398","68,993","48,233","119,998"
Micronesia,4,9,2,6,2,3,2,2
Moldova,359,399,415,257,241,259,48,545
Monaco,4,4,2,3,3,4,-,3
Mongolia,302,746,682,378,513,445,60,629
Montenegro,148,233,232,356,331,410,105,207
Morocco,390,557,459,388,399,566,77,659
Mozambique,36,39,57,30,44,43,1,34
Namibia,10,22,10,42,31,49,10,67
Nauru,0,-,5,1,-,-,1,-
Nepal,492,789,450,970,674,717,146,"1,601"
Netherlands,"7,723","4,081","3,565","2,821","2,537","2,541",374,"1,560"
New Zealand,"1,206","1,526","1,353",843,983,"1,042",131,396
Nicaragua,"1,167","1,339","1,358","1,250","2,995","2,133",729,"3,361"
Niger,25,42,58,75,66,50,4,46
Nigeria,"6,781","11,461","19,046","29,004","16,802","10,073","1,314","9,049"
Norway,"1,230",992,773,520,582,537,50,299
Oman,41,46,34,26,29,33,1,25
Pakistan,"1,435","2,415","2,070","1,917","2,490","2,907",400,"3,347"
Palau,2,4,2,6,5,4,-,-
Panama,773,805,985,831,807,"1,187",433,"1,614"
Papua New Guinea,2,5,11,3,19,18,-,7
Paraguay,466,409,524,501,694,918,227,640
Peru,"4,550","5,310","4,687","4,653","4,946","6,560","2,290","8,711"
Philippines,"3,265","4,438","4,715","4,993","4,436","4,621","1,368","6,080"
Poland,"2,345","2,787","2,221","1,635",,"1,634",219,"1,453"
Portugal,"3,322","3,365","3,242","3,140","3,291","2,658",467,"3,751"
Qatar,108,196,149,154,57,94,20,89
Romania,"1,153","1,052",879,720,804,754,177,800
Russia,"2,705","3,344","3,837","4,234","4,921","4,713",675,"6,959"
Rwanda,92,110,135,137,328,388,34,262
Saint Kitts and Nevis,237,262,247,203,180,338,17,102
Saint Lucia,363,320,326,293,293,392,107,278
"Saint Vincent and the
Grenadines",335,342,324,263,292,633,56,160
Samoa,110,103,132,140,152,287,59,182
San Marino,16,12,2,3,1,4,-,4
Sao Tome and Principe,0,1,1,1,4,1,-,-
Saudi Arabia,965,"1,429","1,005",817,648,669,45,342
Senegal,269,272,244,280,335,421,160,363
Serbia,336,507,508,304,333,264,68,328
Seychelles,2,2,5,2,3,4,2,4
Sierra Leone,86,157,319,191,173,196,49,263
Singapore,375,471,301,205,365,209,45,198
Slovakia,927,703,429,406,335,333,40,229
Slovenia,235,223,118,86,102,99,12,69
Solomon Islands,0,-,102,3,1,6,-,7
Somalia,2,8,22,9,3,5,1,9
South Africa,974,837,"1,040",848,"1,009","1,162",148,876
South Sudan,7,6,28,36,26,13,-,11
Spain,"10,891","11,716","11,850","10,208","13,156","11,395","4,462","26,442"
Sri Lanka,439,315,362,286,384,388,41,468
Sudan,278,341,624,339,807,660,16,252
Suriname,93,118,113,175,157,130,22,152
Sweden,"2,428","2,601",14,"1,168","1,191","1,087",100,668
Switzerland,"2,123","2,257","2,234","1,032","1,624","1,170",132,707
Syria,440,726,692,"1,180",411,172,23,611
Taiwan,"1,184","1,522","1,775","1,214","1,593","1,208",305,"1,359"
Tajikistan,44,119,68,81,119,74,2,130
Tanzania,127,181,85,171,185,158,12,179
Thailand,"1,349","1,954","1,789","1,491","1,434","1,662",297,"2,034"
Timor-Leste,1,2,-,-,-,1,-,-
Togo,133,197,226,170,181,211,52,193
Tonga,150,295,228,143,156,217,35,85
Trinidad and Tobago,873,868,"1,047",728,829,"1,670",190,"1,056"
Tunisia,135,198,159,188,190,178,45,368
Turkey,"2,227","2,531","2,606","2,804","2,155","2,022",272,"2,549"
Turkmenistan,52,44,64,92,68,46,7,76
Tuvalu,1,-,1,1,-,-,1,-
Uganda,259,379,373,768,688,619,56,675
Ukraine,"2,299","2,707","3,995","2,047","1,488","1,461",287,"3,944"
United Arab Emirates,393,452,363,383,275,249,41,417
United Kingdom,"16,446","20,670","23,231","12,233","14,463","19,635","1,052","8,503"
Uruguay,"1,880","1,353","1,159","1,397","1,084",875,241,929
Uzbekistan,502,803,523,667,502,332,35,529
Vanuatu,2,1,1,-,2,1,-,1
Venezuela,"12,242","22,906","29,419","34,902","37,914","31,599","3,131","171,627"
Vietnam,"2,285","2,689","2,326","1,750","1,555","1,900",281,"1,192"
Yemen,219,194,346,507,117,95,13,204
Zambia,73,120,149,219,194,145,44,160
Zimbabwe,140,148,176,192,284,339,15,347
